#time,accel_x,accel_y,accel_z
7272.150623,401.994197,689.132909,-9801.001370
7272.153024,459.421939,631.705166,-9820.143950
7272.155425,555.134843,880.558717,-9724.431046
7272.157826,440.279358,669.990328,-9915.856854
7272.160227,421.136778,650.847747,-9839.286531
7272.162628,421.136778,784.845813,-9743.573627
7272.165029,555.134843,899.701298,-9801.001370
7272.167430,516.849682,593.420005,-9915.856854
7272.169831,593.420005,19.142581,-9896.714274
7272.172232,1378.265818,880.558717,-9686.145885
7272.174633,-191.425808,765.703232,-9896.714274
7272.177034,1493.121302,-1914.258080,-10049.854920
7272.179435,363.709035,-1339.980656,-9839.286531
7272.181836,-267.996131,-1646.261949,-10298.708470
7272.184237,-114.855485,-6125.625856,-10528.419440
7272.186638,1665.404530,3713.660675,-8212.167163
7272.189039,-76.570323,421.136778,-10490.134278
7272.191496,-937.986459,3024.527766,-10758.130410
7272.193953,1512.263883,7523.034254,-7944.171032
7272.196410,-363.709035,-5972.485210,-10509.276859
7272.198866,1071.984525,1703.689691,-8863.014910
7272.201323,-267.996131,-1722.832272,-10222.138147
7272.203780,248.853550,287.138712,-11676.974288
7272.206237,1263.410333,6891.329088,-8059.026517
7272.208694,440.279358,-2679.961312,-10356.136213
7272.211151,-880.558717,5149.354235,-8441.878133
7272.213607,2526.820666,2641.676150,-10030.712339
7272.216064,-1761.117434,574.277424,-11160.124606
7272.218521,-784.845813,689.132909,-9341.579430
7272.220978,2603.390989,-191.425808,-8863.014910
7272.223435,-191.425808,-153.140646,-10068.997501
7272.225892,-401.994197,3235.096155,-9896.714274
7272.228348,2469.392923,-497.707101,-10528.419440
7272.230805,-784.845813,3311.666478,-9513.862658
7272.233262,95.712904,-267.996131,-9609.575562
7272.235719,1435.693560,593.420005,-9322.436850
7272.238176,-38.285162,1167.697429,-10011.569758
7272.240633,19.142581,1339.980656,-10183.852986
7272.243089,976.271621,382.851616,-9762.716208
7272.245546,133.998066,1033.699363,-9169.296203
7272.248003,-267.996131,2488.535504,-9513.862658
7272.250460,1856.830338,3732.803256,-9781.858789
7272.252917,-1320.838075,4785.645200,-9896.714274
7272.255374,593.420005,1799.402595,-9475.577496
7272.257830,3522.234867,-1378.265818,-9513.862658
7272.260287,-2373.680019,4900.500685,-9456.434915
7272.262744,1493.121302,-76.570323,-10356.136213
7272.265201,4575.076811,-3464.807125,-9973.284597
7272.267658,-2679.961312,9743.573627,-7580.461997
7272.270115,57.427742,-2622.533570,-11064.411702
7272.272571,2641.676150,-3292.523898,-10375.278794
7272.275028,-1990.828403,7733.602643,-8480.163294
7272.277485,3139.383251,-5876.772306,-11140.982026
7272.279942,-803.988394,9513.862658,-7484.749093
7272.282399,1397.408398,-2603.390989,-10528.419440
7272.284856,-746.560651,-1378.265818,-10260.423309
7272.287312,-650.847747,-1780.260014,-10700.702667
7272.289807,2009.970984,-5551.348432,-10834.700733
7272.292301,-555.134843,1129.412267,-9341.579430
7272.294795,-1665.404530,5838.487144,-8805.587168
7272.297290,4460.221326,-3905.086483,-10241.280728
7272.299784,-229.710970,1531.406464,-9781.858789
7272.302278,-1493.121302,497.707101,-10528.419440
7272.304773,1320.838075,-497.707101,-9762.716208
7272.307267,3483.949706,1129.412267,-8614.161360
7272.309761,95.712904,708.275490,-10030.712339
7272.312256,-2009.970984,-1359.123237,-10643.274925
7272.314750,2565.105827,899.701298,-9762.716208
7272.317244,95.712904,1244.267752,-9724.431046
7272.319739,325.423874,1588.834206,-9245.866526
7272.322233,287.138712,765.703232,-9513.862658
7272.324727,823.130974,-2909.672282,-10777.272990
7272.327222,133.998066,1244.267752,-9743.573627
7272.329716,95.712904,1014.556782,-10145.567824
7272.332210,555.134843,287.138712,-9437.292334
7272.334705,861.416136,-555.134843,-9322.436850
7272.337199,-248.853550,306.281293,-10241.280728
7272.339693,823.130974,-2182.254211,-10796.415571
7272.342187,401.994197,-1320.838075,-9801.001370
7272.344682,-440.279358,2277.967115,-8977.870395
7272.347176,-133.998066,-1952.543242,-10222.138147
7272.349670,2679.961312,574.277424,-9896.714274
7272.352165,-1091.127106,-2067.398726,-10719.845248
7272.354659,-765.703232,976.271621,-9781.858789
7272.357153,-325.423874,-2029.113565,-10356.136213
7272.359648,2124.826469,2373.680019,-8786.444587
7272.362142,-133.998066,1014.556782,-9284.151688
7272.364636,-1627.119368,-5723.631659,-12289.536874
7272.367131,2928.814862,2699.103893,-8843.872330
7272.369625,2124.826469,3732.803256,-8690.731683
7272.372119,-3292.523898,-6202.196179,-11562.118803
7272.374614,1799.402595,6144.768437,-8556.733618
7272.377108,593.420005,-5206.781978,-11389.835576
7272.379602,248.853550,4058.227130,-10088.140082
7272.382097,-880.558717,1454.836141,-9628.718142
7272.384591,1473.978722,2622.533570,-8748.159426
7272.387085,1722.832272,7791.030386,-8212.167163
7272.389603,-1780.260014,-6623.332957,-11906.685258
7272.392120,-842.273555,-1837.687757,-10547.562021
7272.394638,2239.681954,6910.471669,-8059.026517
7272.397155,-1091.127106,-2565.105827,-11389.835576
7272.399673,1052.841944,7044.469734,-8193.024582
7272.402190,1378.265818,-1722.832272,-10126.425243
7272.404708,172.283227,-2220.539373,-10949.556218
7272.407225,325.423874,5742.774240,-9111.868461
7272.409743,1378.265818,1895.115499,-10164.710405
7272.412260,421.136778,-363.709035,-9762.716208
7272.414778,-516.849682,2124.826469,-8997.012976
7272.417296,1263.410333,-306.281293,-10375.278794
7272.419813,440.279358,937.986459,-10164.710405
7272.422331,497.707101,1512.263883,-9858.429112
7272.424848,-153.140646,650.847747,-9628.718142
7272.427366,612.562586,1473.978722,-9092.725880
7272.429883,842.273555,-95.712904,-10375.278794
7272.432401,-765.703232,2622.533570,-10030.712339
7272.434918,1933.400661,976.271621,-9877.571693
7272.437436,-689.132909,803.988394,-9475.577496
7272.439953,-363.709035,3273.381317,-9035.298138
7272.442471,1263.410333,1741.974853,-9820.143950
7272.444988,-114.855485,3273.381317,-10260.423309
7272.447506,2526.820666,210.568389,-9954.142016
7272.450023,-708.275490,4823.930362,-8901.300072
7272.452541,-1148.554848,3905.086483,-9667.003304
7272.455058,4307.080680,-4555.934230,-10222.138147
7272.457576,-3062.812928,9188.438784,-8097.311678
7272.460093,612.562586,-3426.521963,-11408.978157
7272.462611,2373.680019,-5111.069074,-10662.417506
7272.465128,-2316.252277,9303.294269,-7752.745224
7272.467646,3445.664544,-4307.080680,-10643.274925
7272.470164,-401.994197,11179.267187,-7503.891674
7272.472681,2545.963246,267.996131,-10011.569758
7272.475199,-1512.263883,-1282.552914,-9705.288466
7272.477716,-478.564520,-3139.383251,-10681.560086
7272.480234,2622.533570,-7274.180704,-10911.271056
7272.482751,-1186.840010,4766.502619,-8633.303941
7272.485269,-937.986459,6202.196179,-9150.153622
7272.487786,4670.789715,-6278.766502,-11006.983960
7272.490321,-3196.810994,3866.801322,-8843.872330
