#time,accel_x,accel_y,accel_z
874.628192,937.986459,459.421939,-9265.009107
874.631384,1225.125171,-401.994197,-10394.421374
874.634575,-19.142581,497.707101,-9399.007173
874.637767,-631.705166,727.418070,-9418.149754
874.640958,-937.986459,1971.685822,-9954.142016
874.644150,267.996131,363.709035,-9801.001370
874.647341,267.996131,1473.978722,-9188.438784
874.650533,1531.406464,-76.570323,-9705.288466
874.653725,1856.830338,478.564520,-9131.011042
874.656916,650.847747,631.705166,-9896.714274
874.660108,-669.990328,1110.269686,-9743.573627
874.663299,-1110.269686,76.570323,-9571.290400
874.666491,-555.134843,1684.547110,-9475.577496
874.669682,-727.418070,1110.269686,-9896.714274
874.672874,1052.841944,344.566454,-9628.718142
874.676066,1971.685822,1320.838075,-8997.012976
874.679257,1703.689691,-708.275490,-9954.142016
874.682449,1512.263883,650.847747,-9801.001370
874.685640,-421.136778,2067.398726,-9590.432981
874.688832,-937.986459,4230.510357,-8997.012976
874.692023,-976.271621,4192.225195,-9226.723946
874.695215,1282.552914,-3388.236802,-9513.862658
874.698407,1493.121302,-1033.699363,-9686.145885
874.701598,1454.836141,-3062.812928,-9973.284597
874.704790,842.273555,3617.947771,-8269.594906
874.707981,1129.412267,440.279358,-9801.001370
874.711173,516.849682,114.855485,-9686.145885
874.714390,57.427742,1493.121302,-9341.579430
874.717607,-784.845813,3120.240670,-9284.151688
874.720825,-689.132909,1952.543242,-9475.577496
874.724042,861.416136,1454.836141,-9494.720077
874.727259,1665.404530,555.134843,-8863.014910
874.730477,1875.972918,-95.712904,-9456.434915
874.733694,1397.408398,-918.843878,-9934.999435
874.736911,76.570323,612.562586,-9609.575562
874.740129,-440.279358,1225.125171,-9533.005238
874.743346,-669.990328,1014.556782,-9609.575562
874.746563,-306.281293,1091.127106,-9552.147819
874.749781,401.994197,1071.984525,-9743.573627
874.752998,1359.123237,765.703232,-9245.866526
874.756215,1397.408398,401.994197,-9418.149754
874.759433,535.992262,-38.285162,-9820.143950
874.762650,-516.849682,2239.681954,-9399.007173
874.765867,-727.418070,-38.285162,-9743.573627
874.769085,-267.996131,1110.269686,-9188.438784
874.772302,-593.420005,-287.138712,-10336.993632
874.775519,1205.982590,1186.840010,-9035.298138
874.778737,1607.976787,-4153.940034,-10202.995566
874.781954,1569.691626,-3503.092286,-10145.567824
874.785171,440.279358,-1167.697429,-9667.003304
874.788389,57.427742,2660.818731,-9418.149754
874.791606,-421.136778,957.129040,-9533.005238
874.794823,-287.138712,-2641.676150,-10509.276859
874.798041,0.000000,3024.527766,-9360.722011
874.801258,229.710970,6010.770371,-9456.434915
874.804475,1205.982590,5493.920690,-8231.309744
874.807692,1627.119368,-1339.980656,-9437.292334
874.810910,1339.980656,-937.986459,-10222.138147
874.814127,631.705166,1780.260014,-9379.864592
874.817380,-650.847747,1512.263883,-9303.294269
874.820616,-880.558717,3062.812928,-9188.438784
874.823852,-248.853550,823.130974,-10164.710405
874.827088,1091.127106,1416.550979,-9188.438784
874.830324,1071.984525,344.566454,-9360.722011
874.833560,1205.982590,957.129040,-9762.716208
874.836796,631.705166,210.568389,-9762.716208
874.840032,421.136778,784.845813,-9399.007173
874.843268,-478.564520,1033.699363,-9896.714274
874.846504,-459.421939,306.281293,-9552.147819
874.849740,-306.281293,1837.687757,-9418.149754
874.852976,784.845813,669.990328,-9992.427178
