#time,accel_x,accel_y,accel_z
4975.370802,-344.566454,2067.398726,-9724.431046
4975.373387,4843.072942,248.853550,-9762.716208
4975.375971,3292.523898,516.849682,-9820.143950
4975.378555,861.416136,995.414202,-9667.003304
4975.381148,-3101.098090,937.986459,-9743.573627
4975.383741,-248.853550,-535.992262,-10030.712339
4975.386333,3866.801322,2258.824534,-9399.007173
4975.388926,1684.547110,95.712904,-10298.708470
4975.391518,-421.136778,401.994197,-9858.429112
4975.394111,-2316.252277,3330.809059,-8767.302006
4975.396704,-3579.662610,-1110.269686,-10432.706536
4975.399296,-2009.970984,1473.978722,-10126.425243
4975.401889,3522.234867,1550.549045,-9628.718142
4975.404482,2354.537438,325.423874,-9724.431046
4975.407074,478.564520,191.425808,-9533.005238
4975.409667,-2986.242605,1493.121302,-9705.288466
4975.412260,-3177.668413,708.275490,-10088.140082
4975.414852,-784.845813,267.996131,-9915.856854
4975.417445,1148.554848,1550.549045,-9571.290400
4975.420037,2105.683888,-19.142581,-9801.001370
4975.422630,-325.423874,1129.412267,-9571.290400
4975.425223,-1933.400661,842.273555,-10107.282662
4975.427815,708.275490,478.564520,-10145.567824
4975.430408,1741.974853,746.560651,-9762.716208
4975.433001,-1225.125171,842.273555,-9590.432981
4975.435593,-1741.974853,-76.570323,-9801.001370
4975.438186,-2775.674216,1091.127106,-9954.142016
4975.440778,-1780.260014,880.558717,-10088.140082
4975.443371,1722.832272,497.707101,-9992.427178
4975.445964,3847.658741,976.271621,-9456.434915
4975.448556,-440.279358,918.843878,-9494.720077
4975.451149,-3656.232933,153.140646,-9954.142016
4975.453742,-4134.797453,1856.830338,-9858.429112
4975.456334,1952.543242,325.423874,-10068.997501
4975.458927,1071.984525,172.283227,-9877.571693
4975.461520,1071.984525,1875.972918,-9207.581365
4975.464112,2584.248408,382.851616,-9590.432981
4975.466705,-4230.510357,-1091.127106,-10566.704602
4975.469297,-2277.967115,2450.250342,-9245.866526
4975.471890,-1244.267752,-325.423874,-10011.569758
4975.474483,5742.774240,57.427742,-9743.573627
4975.477075,3330.809059,3101.098090,-8997.012976
4975.479668,708.275490,-2086.541307,-10719.845248
4975.482261,19.142581,2813.959378,-9341.579430
4975.484859,-3273.381317,-497.707101,-10298.708470
4975.487458,3024.527766,689.132909,-9877.571693
4975.490056,5225.924558,2143.969050,-9494.720077
4975.492654,1493.121302,-612.562586,-10049.854920
4975.495253,-1071.984525,2182.254211,-9456.434915
4975.497851,1473.978722,-95.712904,-10145.567824
4975.500450,172.283227,803.988394,-9628.718142
4975.503048,535.992262,1569.691626,-9896.714274
4975.505647,2775.674216,-497.707101,-9724.431046
4975.508245,2009.970984,1761.117434,-9590.432981
4975.510844,2660.818731,-57.427742,-10145.567824
4975.513442,153.140646,899.701298,-9667.003304
4975.516041,-114.855485,976.271621,-9896.714274
4975.518639,-133.998066,478.564520,-9609.575562
4975.521237,2067.398726,1225.125171,-9552.147819
4975.523836,2354.537438,382.851616,-10068.997501
4975.526434,-1225.125171,727.418070,-9858.429112
4975.529033,631.705166,612.562586,-9552.147819
4975.531631,1684.547110,555.134843,-9839.286531
4975.534230,1033.699363,727.418070,-9954.142016
4975.536828,708.275490,1110.269686,-9781.858789
4975.539427,4268.795518,95.712904,-9915.856854
4975.542025,2450.250342,631.705166,-9628.718142
4975.544624,306.281293,1033.699363,-9877.571693
4975.547222,-1205.982590,153.140646,-9934.999435
4975.549821,-689.132909,1531.406464,-9590.432981
