#time,accel_x,accel_y,accel_z
84034.461837,459.421939,803.988394,-9896.714274
84034.464407,478.564520,880.558717,-9781.858789
84034.466976,765.703232,478.564520,-9954.142016
84034.469545,133.998066,1205.982590,-9877.571693
84034.472114,229.710970,784.845813,-9973.284597
84034.474683,631.705166,784.845813,-10088.140082
84034.477253,210.568389,1110.269686,-9954.142016
84034.479822,478.564520,229.710970,-10068.997501
84034.482391,784.845813,784.845813,-9858.429112
84034.484960,191.425808,1129.412267,-9934.999435
84034.487530,593.420005,-57.427742,-10145.567824
84034.490099,631.705166,1167.697429,-9877.571693
84034.492668,593.420005,535.992262,-10049.854920
84034.495237,114.855485,497.707101,-10030.712339
84034.497806,497.707101,1091.127106,-9781.858789
84034.500376,650.847747,535.992262,-9915.856854
84034.502945,57.427742,535.992262,-10145.567824
84034.505514,191.425808,1167.697429,-9705.288466
84034.508083,440.279358,555.134843,-9762.716208
84034.510652,344.566454,363.709035,-9934.999435
84034.513222,-19.142581,1397.408398,-9743.573627
84034.515791,95.712904,899.701298,-9724.431046
84034.518360,689.132909,19.142581,-9954.142016
84034.520929,-650.847747,2641.676150,-9475.577496
84034.523499,210.568389,574.277424,-9954.142016
84034.526068,861.416136,1071.984525,-9705.288466
84034.528637,-535.992262,2660.818731,-9437.292334
84034.531245,669.990328,-95.712904,-10145.567824
84034.533852,0.000000,2029.113565,-9667.003304
84034.536460,1033.699363,765.703232,-9954.142016
84034.539068,669.990328,1244.267752,-9667.003304
84034.541676,957.129040,363.709035,-9896.714274
84034.544283,861.416136,459.421939,-9954.142016
84034.546891,1071.984525,555.134843,-9839.286531
84034.549499,1263.410333,-38.285162,-9973.284597
84034.552107,918.843878,363.709035,-9781.858789
84034.554714,784.845813,-172.283227,-9839.286531
84034.557322,689.132909,-153.140646,-10107.282662
84034.559930,267.996131,765.703232,-9954.142016
84034.562538,401.994197,574.277424,-10011.569758
84034.565145,459.421939,459.421939,-9954.142016
84034.567753,631.705166,937.986459,-9858.429112
84034.570361,650.847747,574.277424,-9954.142016
84034.572968,784.845813,497.707101,-9973.284597
84034.575576,593.420005,1186.840010,-9973.284597
84034.578184,325.423874,306.281293,-10183.852986
84034.580792,612.562586,574.277424,-9801.001370
84034.583399,459.421939,1339.980656,-9743.573627
84034.586007,191.425808,401.994197,-10183.852986
84034.588615,765.703232,689.132909,-9992.427178
84034.591223,708.275490,1052.841944,-9896.714274
84034.593830,267.996131,-114.855485,-10375.278794
84034.596438,650.847747,1091.127106,-9667.003304
84034.599046,689.132909,899.701298,-9667.003304
84034.601654,76.570323,421.136778,-10336.993632
84034.604261,995.414202,555.134843,-9915.856854
84034.606869,746.560651,1129.412267,-9743.573627
84034.609477,574.277424,-76.570323,-10356.136213
84034.612084,344.566454,1263.410333,-9667.003304
84034.614692,1493.121302,-76.570323,-9934.999435
84034.617300,1225.125171,-95.712904,-10145.567824
84034.619908,574.277424,1301.695494,-9973.284597
84034.622515,1607.976787,-1282.552914,-10260.423309
84034.625123,861.416136,248.853550,-9934.999435
84034.627731,440.279358,535.992262,-9954.142016
84034.630339,765.703232,-784.845813,-10011.569758
84034.632946,133.998066,1531.406464,-9781.858789
84034.635575,765.703232,516.849682,-9992.427178
84034.638204,172.283227,421.136778,-9896.714274
84034.640832,-344.566454,1397.408398,-9820.143950
84034.643461,-229.710970,1167.697429,-9724.431046
84034.646090,267.996131,1091.127106,-9801.001370
84034.648718,76.570323,1569.691626,-10126.425243
84034.651347,-95.712904,1856.830338,-9705.288466
84034.653976,535.992262,1512.263883,-9667.003304
84034.656604,57.427742,957.129040,-9915.856854
84034.659233,-325.423874,1359.123237,-9858.429112
84034.661862,229.710970,669.990328,-10088.140082
84034.664490,823.130974,497.707101,-9896.714274
84034.667119,172.283227,1359.123237,-9628.718142
84034.669748,631.705166,363.709035,-10222.138147
84034.672376,459.421939,727.418070,-9743.573627
84034.675005,306.281293,1339.980656,-9762.716208
84034.677634,459.421939,344.566454,-10356.136213
84034.680262,478.564520,746.560651,-9839.286531
