#time,accel_x,accel_y,accel_z
6581.065225,842.273555,57.427742,-9858.429112
6581.067779,1454.836141,765.703232,-9781.858789
6581.070334,1531.406464,-172.283227,-9877.571693
6581.072888,2699.103893,-842.273555,-9896.714274
6581.075442,593.420005,2871.387120,-9475.577496
6581.077997,2775.674216,-6202.196179,-11045.269122
6581.080551,1473.978722,-2411.965181,-8977.870395
6581.083105,-3464.807125,4996.213589,-9073.583299
6581.085660,3235.096155,-3598.805190,-12098.111066
6581.088214,1110.269686,5206.781978,-9437.292334
6581.090768,2450.250342,1971.685822,-9418.149754
6581.093323,-1780.260014,1263.410333,-8327.022648
6581.095877,-421.136778,1033.699363,-9954.142016
6581.098448,1493.121302,1435.693560,-10834.700733
6581.101018,-631.705166,-95.712904,-10011.569758
6581.103589,1761.117434,-1990.828403,-10241.280728
6581.106160,-708.275490,4230.510357,-8461.020714
6581.108731,-516.849682,1167.697429,-9456.434915
6581.111302,-2986.242605,3828.516160,-10241.280728
6581.113873,1627.119368,172.283227,-11102.696864
6581.116443,1301.695494,1895.115499,-8920.442653
6581.119014,1167.697429,-325.423874,-9513.862658
6581.121585,-937.986459,325.423874,-9973.284597
6581.124156,-363.709035,1627.119368,-10126.425243
6581.126727,191.425808,1665.404530,-10470.991698
6581.129298,555.134843,784.845813,-9418.149754
6581.131868,344.566454,535.992262,-9131.011042
6581.134439,95.712904,478.564520,-9724.431046
6581.137010,-38.285162,1263.410333,-10202.995566
6581.139581,823.130974,497.707101,-10413.563955
6581.142152,-2163.111630,1186.840010,-9590.432981
6581.144722,-1895.115499,-172.283227,-9533.005238
6581.147293,-1493.121302,1512.263883,-9475.577496
6581.149864,3483.949706,631.705166,-10279.565890
6581.152435,-19.142581,7006.184573,-9494.720077
6581.155006,-1818.545176,3885.943902,-10413.563955
6581.157577,-1703.689691,-440.279358,-9379.864592
6581.160147,-459.421939,1339.980656,-9379.864592
6581.162718,1818.545176,-2947.957443,-11026.126541
6581.165289,133.998066,1531.406464,-9705.288466
6581.167860,746.560651,-1129.412267,-9781.858789
6581.170431,823.130974,-1359.123237,-9934.999435
6581.173002,-5034.498750,7293.323285,-8652.446522
6581.175572,5379.065205,-4977.071008,-11657.831707
6581.178143,4019.941968,9820.143950,-8518.448456
6581.180714,-3101.098090,8346.165229,-7944.171032
6581.183285,2986.242605,-11753.544611,-11906.685258
6581.185856,-650.847747,4230.510357,-8518.448456
6581.188426,2431.107762,-3158.525832,-10911.271056
6581.190997,248.853550,3235.096155,-9341.579430
6581.193568,4919.643266,2890.529701,-9820.143950
6581.196139,-842.273555,-421.136778,-9111.868461
6581.198710,-2526.820666,-344.566454,-10049.854920
6581.201181,2163.111630,-3120.240670,-10930.413637
6581.203652,2067.398726,1225.125171,-9705.288466
6581.206123,1493.121302,2373.680019,-9379.864592
6581.208594,2622.533570,-1301.695494,-9820.143950
6581.211064,784.845813,-19.142581,-9360.722011
6581.213535,-19.142581,-1129.412267,-10796.415571
6581.216006,-803.988394,2622.533570,-9667.003304
6581.218477,1531.406464,842.273555,-9724.431046
6581.220948,2373.680019,248.853550,-9801.001370
6581.223419,842.273555,516.849682,-9150.153622
6581.225890,-95.712904,-210.568389,-10183.852986
6581.228361,516.849682,899.701298,-10202.995566
6581.230832,842.273555,937.986459,-10145.567824
6581.233303,1339.980656,-401.994197,-9552.147819
6581.235774,976.271621,516.849682,-9265.009107
6581.238245,-497.707101,382.851616,-10107.282662
6581.240716,3445.664544,-1071.984525,-10490.134278
6581.243187,3081.955509,1665.404530,-9724.431046
6581.245658,2105.683888,-3349.951640,-10183.852986
6581.248129,-2392.822600,2316.252277,-8805.587168
6581.250600,1071.984525,-535.992262,-10107.282662
6581.253071,-516.849682,-1914.258080,-10681.560086
