#time,accel_x,accel_y,accel_z
3211.531107,497.707101,1627.119368,-9839.286531
3211.533686,229.710970,593.420005,-9705.288466
3211.536264,325.423874,172.283227,-9820.143950
3211.538843,784.845813,1435.693560,-9896.714274
3211.541422,669.990328,842.273555,-10241.280728
3211.544001,1933.400661,421.136778,-9839.286531
3211.546580,-229.710970,191.425808,-9667.003304
3211.549158,-363.709035,1071.984525,-9781.858789
3211.551737,1014.556782,1052.841944,-10049.854920
3211.554316,2029.113565,1454.836141,-9552.147819
3211.556895,-574.277424,1148.554848,-9533.005238
3211.559473,1665.404530,1569.691626,-9475.577496
3211.562052,2603.390989,2048.256146,-9686.145885
3211.564631,2143.969050,2622.533570,-9801.001370
3211.567210,-114.855485,2067.398726,-9762.716208
3211.569789,-1186.840010,-708.275490,-9954.142016
3211.572367,-306.281293,-1971.685822,-10279.565890
3211.574946,918.843878,842.273555,-9781.858789
3211.577525,1952.543242,-210.568389,-9609.575562
3211.580104,-3311.666478,-1875.972918,-10164.710405
3211.582683,-459.421939,2277.967115,-9379.864592
3211.585261,2220.539373,-650.847747,-10356.136213
3211.587840,937.986459,2124.826469,-9934.999435
3211.590419,1454.836141,1397.408398,-9111.868461
3211.592998,-555.134843,-57.427742,-9858.429112
3211.595576,-1665.404530,593.420005,-10317.851051
3211.598155,937.986459,-267.996131,-10030.712339
3211.600734,899.701298,-153.140646,-10049.854920
3211.603313,746.560651,1033.699363,-9322.436850
3211.605892,267.996131,172.283227,-9954.142016
3211.608470,-306.281293,669.990328,-10164.710405
3211.611049,516.849682,1091.127106,-9858.429112
3211.613628,803.988394,306.281293,-10030.712339
3211.616207,248.853550,631.705166,-9628.718142
3211.618786,-153.140646,1052.841944,-9724.431046
3211.621364,248.853550,976.271621,-10107.282662
3211.623943,784.845813,0.000000,-10279.565890
3211.626522,-1091.127106,727.418070,-9992.427178
3211.629100,-382.851616,459.421939,-9781.858789
3211.631679,708.275490,-133.998066,-9877.571693
3211.634257,2067.398726,765.703232,-10011.569758
3211.636835,-114.855485,880.558717,-10394.421374
3211.639414,-267.996131,1914.258080,-9705.288466
3211.641992,-1856.830338,-1741.974853,-9839.286531
3211.644570,191.425808,153.140646,-10030.712339
3211.647149,3292.523898,3790.230998,-9667.003304
3211.649727,746.560651,-1416.550979,-10509.276859
3211.652305,-3885.943902,-708.275490,-10126.425243
3211.654883,2488.535504,3407.379382,-8671.589102
3211.657462,497.707101,-3866.801322,-11313.265253
3211.660040,401.994197,4594.219392,-8997.012976
3211.662618,4900.500685,708.275490,-9399.007173
3211.665197,-2316.252277,-1588.834206,-11274.980091
3211.667775,-3215.953574,4938.785846,-8537.591037
3211.670353,2622.533570,-306.281293,-9456.434915
3211.672932,3541.377448,1703.689691,-10336.993632
3211.675510,401.994197,-114.855485,-10049.854920
3211.678088,-823.130974,612.562586,-9934.999435
3211.680667,-401.994197,1282.552914,-9016.155557
3211.683245,153.140646,-1129.412267,-10279.565890
3211.685823,3273.381317,3483.949706,-9839.286531
3211.688402,2507.678085,1512.263883,-10183.852986
3211.690980,-727.418070,1052.841944,-9762.716208
3211.693558,-746.560651,478.564520,-8901.300072
3211.696137,172.283227,-363.709035,-10068.997501
3211.698715,1607.976787,401.994197,-10758.130410
3211.701293,2450.250342,1665.404530,-10030.712339
3211.703872,-650.847747,1244.267752,-9781.858789
3211.706450,689.132909,1722.832272,-8958.727814
3211.709028,516.849682,363.709035,-9781.858789
3211.711606,727.418070,459.421939,-10662.417506
3211.714184,612.562586,1531.406464,-10126.425243
3211.716762,-344.566454,574.277424,-9954.142016
3211.719340,1607.976787,650.847747,-9150.153622
3211.721919,555.134843,880.558717,-9571.290400
3211.724497,918.843878,1378.265818,-10470.991698
3211.727075,1416.550979,1225.125171,-9992.427178
3211.729653,114.855485,-976.271621,-9954.142016
3211.732231,708.275490,2928.814862,-9073.583299
3211.734809,3062.812928,1684.547110,-9609.575562
3211.737387,1588.834206,1186.840010,-10356.136213
3211.739965,-593.420005,2469.392923,-9801.001370
3211.742543,-1339.980656,-2986.242605,-10068.997501
3211.745121,1320.838075,2565.105827,-9341.579430
3211.747699,4307.080680,1033.699363,-9762.716208
3211.750277,-229.710970,-133.998066,-10624.132344
3211.752855,-1665.404530,1646.261949,-9513.862658
3211.755433,1186.840010,306.281293,-9609.575562
3211.758011,1110.269686,4019.941968,-9341.579430
3211.760589,95.712904,-2756.531635,-9207.581365
3211.763167,325.423874,-1282.552914,-10432.706536
3211.765745,784.845813,3043.670347,-9781.858789
3211.768323,-1741.974853,-3675.375514,-10375.278794
3211.770901,-957.129040,3503.092286,-8901.300072
3211.773479,2411.965181,-287.138712,-10145.567824
3211.776057,1493.121302,382.851616,-10624.132344
3211.778636,76.570323,3043.670347,-9016.155557
3211.781214,-2239.681954,-3043.670347,-10528.419440
3211.783792,-1014.556782,2335.394858,-9188.438784
3211.786370,2469.392923,2297.109696,-9207.581365
3211.788948,2354.537438,-516.849682,-10566.704602
3211.791526,-976.271621,2086.541307,-9781.858789
3211.794104,-1339.980656,-267.996131,-9973.284597
3211.796682,-325.423874,497.707101,-9590.432981
3211.799260,593.420005,746.560651,-9781.858789
3211.801838,1971.685822,-344.566454,-10451.849117
3211.804416,-325.423874,803.988394,-9896.714274
3211.806994,-516.849682,689.132909,-9667.003304
3211.809572,1014.556782,842.273555,-9513.862658
3211.812150,823.130974,306.281293,-9992.427178
3211.814727,133.998066,497.707101,-10202.995566
3211.817304,-248.853550,1225.125171,-9820.143950
3211.819882,516.849682,440.279358,-9820.143950
3211.822459,-746.560651,19.142581,-9839.286531
3211.825036,-401.994197,765.703232,-9781.858789
3211.827613,172.283227,19.142581,-10241.280728
3211.830190,2220.539373,593.420005,-10107.282662
3211.832767,-1320.838075,-1895.115499,-10298.708470
3211.835344,-2009.970984,1588.834206,-9533.005238
3211.837922,-421.136778,-918.843878,-9667.003304
3211.840499,95.712904,-382.851616,-10356.136213
3211.843076,2775.674216,4192.225195,-9533.005238
3211.845653,1033.699363,899.701298,-9609.575562
3211.848230,-2947.957443,-2316.252277,-10068.997501
3211.850807,1607.976787,3637.090352,-9073.583299
3211.853384,1033.699363,-4804.787781,-11313.265253
3211.855962,-133.998066,3369.094221,-9360.722011
3211.858539,4728.217458,3503.092286,-8537.591037
3211.861116,-1435.693560,-3426.521963,-11102.696864
3211.863693,-2756.531635,5895.914886,-8518.448456
3211.866270,2277.967115,-612.562586,-9839.286531
3211.868847,4402.793584,1071.984525,-10528.419440
3211.871425,-153.140646,803.988394,-9418.149754
3211.874002,-1186.840010,57.427742,-9667.003304
3211.876579,-133.998066,1531.406464,-9628.718142
