#time,accel_x,accel_y,accel_z
372.936961,-880.558717,38.285162,-9743.573627
372.940179,-650.847747,2029.113565,-9590.432981
372.943397,-937.986459,650.847747,-9705.288466
372.946615,0.000000,612.562586,-9571.290400
372.949833,2297.109696,1588.834206,-9207.581365
372.953051,1531.406464,-612.562586,-10049.854920
372.956269,1761.117434,823.130974,-9054.440718
372.959487,459.421939,-880.558717,-10183.852986
372.962705,-478.564520,2411.965181,-9399.007173
372.965923,-363.709035,172.283227,-9915.856854
372.969141,593.420005,765.703232,-9379.864592
372.972359,1684.547110,2641.676150,-9437.292334
372.975577,2067.398726,1588.834206,-9628.718142
372.978795,1493.121302,3139.383251,-8403.592971
372.982013,210.568389,440.279358,-10336.993632
372.985231,-784.845813,1416.550979,-9801.001370
372.988449,-153.140646,-133.998066,-9609.575562
372.991667,-1473.978722,-344.566454,-9552.147819
372.994885,-516.849682,1071.984525,-9533.005238
372.998103,1091.127106,-727.418070,-10222.138147
373.001321,1454.836141,1531.406464,-8901.300072
373.004539,2316.252277,57.427742,-9494.720077
373.007757,689.132909,823.130974,-9418.149754
373.010975,306.281293,-210.568389,-10279.565890
373.014193,-535.992262,1722.832272,-9341.579430
373.017411,-344.566454,-229.710970,-9513.862658
373.020629,421.136778,1493.121302,-9686.145885
373.023847,210.568389,267.996131,-10126.425243
373.027047,1263.410333,746.560651,-9054.440718
373.030248,1014.556782,172.283227,-9303.294269
373.033449,555.134843,325.423874,-10126.425243
373.036649,-459.421939,1588.834206,-9494.720077
373.039850,-325.423874,153.140646,-9801.001370
373.043050,-995.414202,1531.406464,-9245.866526
373.046251,-1186.840010,-612.562586,-10222.138147
373.049452,1359.123237,918.843878,-9418.149754
373.052652,516.849682,-2277.967115,-9877.571693
373.055853,784.845813,-1741.974853,-9877.571693
373.059053,-593.420005,-95.712904,-9724.431046
373.062254,-1052.841944,1780.260014,-9475.577496
373.065455,1359.123237,2239.681954,-8824.729749
373.068655,976.271621,-1627.119368,-10604.989763
373.071856,746.560651,1627.119368,-9896.714274
373.075056,861.416136,3005.385186,-9341.579430
373.078257,784.845813,1397.408398,-9207.581365
373.081458,803.988394,-76.570323,-9494.720077
373.084658,669.990328,-459.421939,-10202.995566
373.087859,708.275490,497.707101,-9303.294269
373.091060,153.140646,38.285162,-9877.571693
373.094260,306.281293,2277.967115,-9475.577496
373.097461,325.423874,1416.550979,-9820.143950
373.100661,1780.260014,1071.984525,-9360.722011
373.103862,1550.549045,-76.570323,-9341.579430
373.107063,1780.260014,535.992262,-9628.718142
373.110263,708.275490,191.425808,-9456.434915
373.113464,114.855485,1033.699363,-9533.005238
373.116664,-650.847747,784.845813,-9801.001370
373.119865,114.855485,497.707101,-9552.147819
373.123066,-459.421939,1167.697429,-9667.003304
373.126266,555.134843,823.130974,-9609.575562
373.129452,1971.685822,995.414202,-9131.011042
373.132638,1378.265818,-287.138712,-9896.714274
373.135823,248.853550,1033.699363,-9590.432981
373.139009,325.423874,-440.279358,-9801.001370
373.142195,287.138712,2048.256146,-9360.722011
373.145381,-784.845813,957.129040,-9781.858789
373.148566,1627.119368,1607.976787,-9571.290400
373.151752,2928.814862,1971.685822,-9169.296203
373.154938,2431.107762,861.416136,-9858.429112
373.158123,1263.410333,1397.408398,-9437.292334
373.161309,-880.558717,1033.699363,-9915.856854
373.164495,1435.693560,3847.658741,-8614.161360
373.167681,995.414202,-459.421939,-9896.714274
373.170866,-1837.687757,-1493.121302,-10490.134278
373.174052,-1933.400661,-555.134843,-9667.003304
373.177238,382.851616,-1416.550979,-9992.427178
373.180424,1875.972918,-191.425808,-9245.866526
373.183609,1607.976787,-650.847747,-10068.997501
373.186795,-133.998066,1646.261949,-9284.151688
373.189981,-1359.123237,267.996131,-9571.290400
373.193166,-76.570323,823.130974,-9973.284597
373.196352,-842.273555,1397.408398,-9628.718142
373.199538,631.705166,1033.699363,-9533.005238
373.202724,1799.402595,880.558717,-9016.155557
373.205909,1780.260014,574.277424,-9801.001370
373.209095,1110.269686,401.994197,-9628.718142
373.212281,650.847747,57.427742,-9341.579430
373.215466,-535.992262,2392.822600,-9513.862658
373.218652,-287.138712,-210.568389,-9934.999435
373.221838,-210.568389,1761.117434,-9226.723946
373.225024,-19.142581,76.570323,-10183.852986
373.228209,1091.127106,1416.550979,-9035.298138
373.231405,1914.258080,516.849682,-9360.722011
373.234601,325.423874,-19.142581,-10011.569758
373.237797,0.000000,-459.421939,-9513.862658
373.240993,306.281293,-153.140646,-9801.001370
373.244188,-1531.406464,-689.132909,-9705.288466
373.247384,-1244.267752,-1550.549045,-10356.136213
373.250580,363.709035,1607.976787,-9437.292334
373.253776,1569.691626,1378.265818,-8824.729749
373.256972,2928.814862,1359.123237,-9073.583299
373.260167,1914.258080,-2201.396792,-10317.851051
373.263363,880.558717,957.129040,-9973.284597
373.266559,459.421939,4651.647134,-8863.014910
373.269755,0.000000,3081.955509,-9609.575562
373.272951,-937.986459,1014.556782,-9475.577496
373.276147,1148.554848,306.281293,-10088.140082
373.279342,2239.681954,-76.570323,-9647.860723
