#time,accel_x,accel_y,accel_z
5469.372556,325.423874,114.855485,-9839.286531
5469.375108,1435.693560,-669.990328,-9877.571693
5469.377660,1895.115499,765.703232,-9456.434915
5469.380212,3311.666478,-210.568389,-10068.997501
5469.382764,2833.101958,-1646.261949,-9915.856854
5469.385316,363.709035,-2660.818731,-8920.442653
5469.387868,-957.129040,-5532.205851,-10126.425243
5469.390420,-363.709035,6049.055533,-10107.282662
5469.392991,1971.685822,4957.928427,-10413.563955
5469.395562,1014.556782,3828.516160,-8786.444587
5469.398132,3254.238736,-2431.107762,-9456.434915
5469.400703,-4153.940034,995.414202,-8729.016845
5469.403273,-746.560651,-1014.556782,-10949.556218
5469.405844,1646.261949,1320.838075,-10107.282662
5469.408415,-803.988394,6814.758765,-8212.167163
5469.410985,2143.969050,-3637.090352,-10145.567824
5469.413556,-114.855485,2584.248408,-8939.585234
5469.416126,-2163.111630,2775.674216,-9954.142016
5469.418697,-1359.123237,2718.246474,-10662.417506
5469.421268,708.275490,306.281293,-10030.712339
5469.423838,1837.687757,-267.996131,-8690.731683
5469.426409,1071.984525,-306.281293,-9533.005238
5469.428979,-918.843878,823.130974,-9934.999435
5469.431550,-1282.552914,2009.970984,-10566.704602
5469.434121,842.273555,1071.984525,-9973.284597
5469.436691,1014.556782,478.564520,-9054.440718
5469.439262,19.142581,325.423874,-9073.583299
5469.441833,-287.138712,918.843878,-9915.856854
5469.444403,76.570323,803.988394,-10470.991698
5469.446974,1607.976787,574.277424,-9858.429112
5469.449544,-2526.820666,1588.834206,-9245.866526
5469.452115,-2086.541307,-497.707101,-9533.005238
5469.454686,0.000000,2947.957443,-9341.579430
5469.457256,2679.961312,2699.103893,-10317.851051
5469.459827,-516.849682,5647.061336,-9934.999435
5469.462397,287.138712,5264.209720,-8767.302006
5469.464968,-1761.117434,-784.845813,-8805.587168
5469.467539,-76.570323,-3656.232933,-10202.995566
5469.470109,-19.142581,-2909.672282,-11102.696864
5469.472680,1569.691626,1454.836141,-9973.284597
5469.475251,497.707101,3751.945837,-9111.868461
5469.477821,937.986459,-1895.115499,-9743.573627
5469.480392,-727.418070,10164.710405,-7867.600709
5469.482962,823.130974,-133.998066,-11006.983960
5469.485533,4134.797453,-7216.752962,-11121.839445
5469.488104,-3349.951640,6604.190376,-8039.883936
5469.490674,1148.554848,-9820.143950,-11140.982026
5469.493245,880.558717,3407.379382,-8575.876198
5469.495823,2048.256146,172.283227,-10758.130410
5469.498401,229.710970,3158.525832,-9552.147819
5469.500980,4173.082614,2813.959378,-9303.294269
5469.503558,-1397.408398,2143.969050,-9054.440718
5469.506136,-1014.556782,-1091.127106,-9628.718142
5469.508715,1550.549045,-3120.240670,-10681.560086
5469.511293,1780.260014,-191.425808,-10528.419440
5469.513871,497.707101,3675.375514,-9111.868461
5469.516450,3330.809059,-650.847747,-9169.296203
5469.519028,535.992262,899.701298,-8920.442653
5469.521606,-76.570323,-2201.396792,-11026.126541
5469.524185,-612.562586,1780.260014,-9820.143950
5469.526763,1301.695494,1244.267752,-9475.577496
5469.529341,1780.260014,-1301.695494,-9552.147819
5469.531920,1110.269686,1454.836141,-9092.725880
5469.534498,95.712904,631.705166,-10107.282662
5469.537076,689.132909,708.275490,-10107.282662
5469.539655,555.134843,1225.125171,-9801.001370
5469.542233,918.843878,-229.710970,-9647.860723
5469.544811,1071.984525,287.138712,-9073.583299
5469.547390,-746.560651,1531.406464,-9705.288466
5469.549968,3713.660675,-1761.117434,-10585.847182
5469.552546,3847.658741,440.279358,-9667.003304
5469.555124,114.855485,-842.273555,-9839.286531
5469.557703,-880.558717,-459.421939,-9399.007173
5469.560281,535.992262,574.277424,-9379.864592
5469.562859,-995.414202,-2182.254211,-10470.991698
