#time,accel_x,accel_y,accel_z
243.687824,-57.427742,2105.683888,-9399.007173
243.691069,-803.988394,1435.693560,-9954.142016
243.694314,-1320.838075,1761.117434,-9360.722011
243.697559,-1435.693560,689.132909,-9839.286531
243.700803,401.994197,1186.840010,-9609.575562
243.704048,1856.830338,784.845813,-9207.581365
243.707293,2086.541307,765.703232,-9552.147819
243.710538,1033.699363,-57.427742,-9494.720077
243.713783,-95.712904,363.709035,-9820.143950
243.717028,-593.420005,1607.976787,-9743.573627
243.720273,-535.992262,650.847747,-9686.145885
243.723517,421.136778,1205.982590,-9399.007173
243.726762,727.418070,267.996131,-9820.143950
243.730007,1378.265818,1397.408398,-9341.579430
243.733252,1512.263883,-746.560651,-9590.432981
243.736497,880.558717,1588.834206,-9533.005238
243.739742,-1091.127106,401.994197,-9896.714274
243.742987,-363.709035,1493.121302,-9418.149754
243.746231,-1665.404530,1167.697429,-9877.571693
243.749476,-516.849682,325.423874,-9647.860723
243.752721,861.416136,976.271621,-9054.440718
243.755966,1052.841944,210.568389,-9762.716208
243.759211,899.701298,306.281293,-9513.862658
243.762456,2105.683888,287.138712,-9456.434915
243.765701,-516.849682,3732.803256,-9131.011042
243.768945,-861.416136,1741.974853,-9915.856854
243.772190,57.427742,-995.414202,-9858.429112
243.775435,1397.408398,-363.709035,-9705.288466
243.778693,937.986459,1512.263883,-9552.147819
243.781951,2775.674216,880.558717,-9437.292334
243.785209,957.129040,-612.562586,-9743.573627
243.788467,-440.279358,708.275490,-9628.718142
243.791725,-708.275490,784.845813,-9667.003304
243.794983,-401.994197,153.140646,-9877.571693
243.798241,1148.554848,0.000000,-9475.577496
243.801499,1588.834206,344.566454,-9686.145885
243.804757,1435.693560,803.988394,-9207.581365
243.808015,1454.836141,133.998066,-9590.432981
243.811273,1071.984525,133.998066,-9705.288466
243.814531,440.279358,421.136778,-9513.862658
243.817789,-248.853550,1186.840010,-9705.288466
243.821047,-765.703232,1052.841944,-9667.003304
243.824305,765.703232,612.562586,-9628.718142
243.827563,440.279358,1052.841944,-9571.290400
